'd	d
bermudans	bermud-an-s
bhutan	bhutan
bhutani	bhutan-i
bhutanis	bhutan-i-s
bible	bible
billingsgate	billingsgate
blackshirt	black-shirt
blackshirts	black-shirt-s
blimp	colonel-blimpblimp
blimpish	colonel-blimpblimp-ish
blimps	colonel-blimpblimp-s
bob	bob
boche	boche
boches	boche-s
boer	boer
boers	boer-s
bohemia	bohemia
bolivia	bolivia
bolivian	bolivi-an
bolivians	bolivi-an-s
bolshevik	bolshevik
bolsheviks	bolshevik-s
bolshevism	bolshev-ism
bordeaux	bordeaux
border	border
boston	boston
bovril	bovril
bowdler	bowdler
bowie	bowie
br	br
bre	bre
brahmin	brahmin
brahmins	brahmin-s
brazil	brazil
brazilian	brazil-ian
brazilians	brazil-ian-s
bren	bren
bren-gun	bren-gun
bren-guns	bren-gun-s
brens	bren-s
brie	brie
bright	bright
brit	brit
britain	britain
britannic	britann-ic
british	brit-ish
britisher	brit-ish-er
britishers	brit-ish-er-s
briton	briton
britons	briton-s
bronx	bronx
bros.	bros.
brownie	brown-ie
brownies	brown-ie-s
brunei	brunei
bruneian	brunei-an
bruneians	brunei-an-s
brussels	brussels
buddha	buddha
buddhism	buddh-ism
buddhist	buddh-ist
buddhists	buddh-ist-s
bulgaria	bulgaria
bulgarian	bulgari-an
bulgarians	bulgari-an-s
bull	bull
bulls	bull-s
buna	buna
bunsen	bunsen
burberries	burberr-ies
burberry	burberry
burgundy	burgundy
burma	burma
burmese	burm-ese
burundi	burundi
burundian	burundi-an
burundians	burundi-an-s
bushman	bush-man
bushmen	Bushmen
c	c
c-in-c	c-in-c
c.o.	c.o.
c.o.d.	c.o.d.
ci	ci
cia	cia
cid	cid
cif	cif
cp	cp
cp'er	cp-er
cp'ers	cp-er-s
cpa	cpa
caerphilly	caerphilly
caesar	caesar
caesarean	caesare-an
caesareans	caesare-an-s
calvary	calvary
calvin	calvin
calvinism	calvin-ism
calvinist	calvin-ist
calvinists	calvin-ist-s
cambodia	cambodia
cambodian	cambodi-an
cambodians	cambodi-an-s
cambridge	cambridge
camembert	camembert
camemberts	camembert-s
cameroon	cameroon
cameroonian	cameroon-ian
cameroonians	cameroon-ian-s
canada	canada
canadian	canad-ian
canadians	canad-ian-s
cancer	cancer
cancers	cancer-s
candlemas	candle-mas
cantab	cantab
cantabrigian	cantabrigian
cantabrigians	cantabrigian-s
canuck	canuck
canucks	canuck-s
capitol	capitol
capricorn	capricorn
capricorns	capricorn-s
carboniferous	carboniferous
carl	carl
carmelite	carmelite
carmelites	carmelite-s
catalan	catal-an
catalonia	catalonia
catherine	catherine
catholic	catholic
catholicism	catholic-ism
catholicity	catholic-ity
catholics	catholic-s
caucasia	caucasia
caucasian	caucasi-an|caucas-ian
caucasians	caucasi-an-s|caucas-ian-s
caucasus	caucasus
celsius	celsius
celt	celt
celtic	celt-ic
celts	celt-s
chablis	chablis
chad	chad
chadian	chad-ian
chadians	chad-ian-s
chanticleer	chanticleer
charleston	charleston
charlestons	charleston-s
charlie	charlie
chartism	chart-ism
chartist	chart-ist
chartists	chart-ist-s
charybdis	charybdis
cheshire	cheshire
chianti	chianti
chicano	chicano
chicanos	chicano-s
chile	chile
chilean	chile-an
chileans	chile-an-s
china	china
chinatown	china-town
chinatowns	china-town-s
chinese	chin-ese
chink	chink
chinks	chink-s
chippendale	chippendale
chipper	chipper
christ	christ
christendom	christen-dom
christian	christ-ian
christianity	christ-ian-ity
christians	christ-ian-s
christmas	christ-mas
christmas-box	christ-mas-box
christmas-boxes	christ-mas-box-es
christmas-tree	christ-mas-tree
christmas-trees	christ-mas-tree-s
christmases	christ-mas-es
christmastide	christ-mas-tide
christmastime	christ-mas-time
cinderella	cinderella
cinderellas	cinderella-s
city	city
clements	clements
cliff	cliff
co-operative	co-operative
co.	co.
coca-cola	coca-cola
coca-colas	coca-cola-s
collins	collins
colombia	colombia
colombian	colombi-an
colombians	colombi-an-s
colonies	colonies
colorado	colorado
coloured	colour-ed
coloureds	colour-ed-s
colt	colt
colts	colt-s
comecon	comecon
comforter	comforter
cominform	cominform
comintern	comintern
commons	commons
commonwealth	commonwealth
communion	communion
communism	commun-ism
communist	commun-ist
communists	commun-ist-s
confucian	confuci-an
confucianism	confuci-an-ism
confucians	confuci-an-s
confucius	confucius
congo	congo
congolese	congol-ese
congregational	congregat-ion-al
congregationalism	congregat-ion-al-ism
congregationalisms	congregat-ion-al-ism-s
congregationalist	congregat-ion-al-ist
congregationalists	congregat-ion-al-ist-s
congress	congress
conrad	conrad
conservative	conserv-at-ive
conservatives	conserv-at-ive-s
continent	continent
conway	conway
copernican	copernic-an
copernicus	copernicus
copt	copt
coptic	copt-ic
copts	copt-s
corinth	corinth
corinthian	corinth-ian
corinthians	corinth-ian-s
cornish	corn-ish
cornwall	cornwall
cory	cory
coventry	coventry
creation	creation
creator	creator
creole	creole
crimplene	crimplene
cross	cross
crucifixion	crucifixion
cuba	cuba
cuban	cub-an
cubans	cub-an-s
cuckoo-spit	cuckoo-spit
cyclopean	cyclope-an
cyclops	cyclops
cyprian	cypr-ian
cypriot	cypriot
cypriots	cypriot-s
cyprus	cyprus
cyril	cyril
cyrillic	cyrill-ic
czech	czech
czechoslovak	czechoslovak
czechoslovakia	czechoslovakia
czechoslovakian	czechoslovaki-an
czechoslovakians	czechoslovaki-an-s
czechoslovaks	czechoslovak-s
czechs	czech-s
d	d
d-day	d-day
dc	dc
ddt	ddt
diy	diy
dj	dj
dna	dna
dahl	dahl
dail	dail
dalmatia	dalmatia
dame	dame
damocles	damocles
dane	dane
danes	dane-s
daniel	daniel
daniels	daniel-s
danish	dan-ish
danny	danny
daphne	daphne
dartmoor	dartmoor
davenport	davenport
davy	davy
dec.	dec.
decalogue	decalogue
december	december
decembers	december-s
deity	deity
delft	delft
delphi	delphi
delphian	delphi-an
delphic	delph-ic
democrat	democrat
democratic	democrat-ic
democrats	democrat-s
derby	derby
deuteronomy	deuteronomy
deutschmark	deutschmark
deutschmarks	deutschmark-s
diane	diane
diaspora	diaspora
dictaphone	dictaphone
dictaphones	dictaphone-s
dispersion	dispersion
divinity	divinity
dixie	dixie
djibouti	djibouti
djiboutian	djibouti-an
djiboutians	djibouti-an-s
dominic	dominic
dominica	dominica
dominican	dominic-an
dominicans	dominic-an-s
don	don
doomsday	doomsday
doric	doric
dr	dr
draco	draco
duce	duce
durex	durex
dutch	dutch
dutchman	dutch-man
dutchmen	Dutchmen
e	e
ecg	ecg
ect	ect
eec	eec
eeg	eeg
ekg	ekg
esp	esp
earth	earth
east	east
easter	easter
easterner	east-ern-er
easterners	east-ern-er-s
easters	easter-s
ecuador	ecuador
ecuadorian	ecuador-ian
ecuadorians	ecuador-ian-s
edam	edam
edams	edam-s
eden	eden
egypt	egypt
egyptian	egypt-ian
egyptians	egypt-ian-s
elastoplast	elastoplast
electra	electra
elizabeth	elizabeth
elizabethan	elizabeth-an
elizabethans	elizabeth-an-s
elysian	elysi-an
elysium	elysium
eminence	eminence
emmenthaler	emmenthaler
empire	empire
english	english
englishman	english-man
englishmen	Englishmen
englishwoman	english-woman
englishwomen	Englishwomen
enlightenment	en-light-en-ment
epicurean	epicure-an
epicureans	epicure-an-s
epicurus	epicurus
epiphany	epiphany
epistle	epistle
epsom	epsom
eritrea	eritrea
eritrean	eritre-an
eritreans	eritre-an-s
erse	erse
eskimo	eskimo
eskimos	eskimo-s
esperanto	esperanto
esq.	esq.
esquire	esquire
establishment	establish-ment
ethiopia	ethiopia
ethiopian	ethiopi-an
ethiopians	ethiopi-an-s
eucharist	eucharist
eucharistic	eucharist-ic
euclid	euclid
euphues	euphues
eurasia	eurasia
eurasian	eurasi-an
eurasians	eurasi-an-s
eurocrat	euro-crat
eurocrats	euro-crat-s
eurodollar	euro-dollar
eurodollars	euro-dollar-s
europe	europe
european	europe-an
europeans	europe-an-s
eustachio	eustachio
evangelist	evangel-ist
evangelists	evangel-ist-s
eve	eve
everlasting	everlast-ing
excellency	excellency
exchequer	exchequer
exodus	exodus
f	f
fbi	fbi
fm	fm
fo	fo
frs	frs
fabian	fabian
fabians	fabian-s
fahrenheit	fahrenheit
fallopio	fallopio
farsi	farsi
fates	fates
father	father
februaries	februar-ies
february	february
federalism	federal-ism
federalist	federal-ist
federalists	federal-ist-s
fiend	fiend
fiji	fiji
fijian	fiji-an
fijians	fiji-an-s
filipino	filipino
filipinos	filipino-s
finn	finn
finnish	finn-ish
finns	finn-s
flemish	flemish
florida	florida
formica	formica
forsyth	forsyth
fr	fr
france	france
francis	francis
franciscan	francisc-an
franciscans	francisc-an-s
frank	frank
frankfurt	frankfurt
franks	frank-s
frau	frau
freemason	free-mason
freemasons	free-mason-s
freese	freese
french	french
french-polish	french-polish
french-polished	french-polish-ed
french-polishes	french-polish-es
french-polishing	french-polish-ing
frenchman	french-man
frenchmen	Frenchmen
frenchwoman	french-woman
frenchwomen	Frenchwomen
freud	freud
freudian	freud-ian
fri.	fri.
friday	friday
fridays	friday-s
friend	friend
friends	friend-s
frisbee	frisbee
frisbees	frisbee-s
frisian	frisian
frisians	frisian-s
frog	frog
froggies	frogg-ies
froggy	frogg-y
frogs	frog-s
fuchs	fuchs
fury	fury
g	g
g-man	govern-ment-man
g-men	G-men
g-string	g-string
g-strings	g-string-s
gce	gce
ghq	ghq
gi	gi
glc	glc
gmt	gmt
gnp	gnp
gp	gp
gpo	gpo
gabon	gabon
gabonese	gabon-ese
gael	gael
gaelic	gael-ic
gaels	gael-s
gage	gage
gainsborough	gainsborough
galaxy	galaxy
gallic	gallic
gallup	gallup
gambia	gambia
gambian	gambi-an
gambians	gambi-an-s
garden	garden
gargantua	gargantua
gaul	gaul
gauls	gaul-s
geiger	geiger
gemini	gemini
geminis	gemini-s
genesis	genesis
gents	gent-s
george	george
georges	george-s
georgian	georg-ian
german	german
germanic	german-ic
germans	german-s
germany	germany
gestapo	gestapo
ghana	ghana
ghanaian	ghana-ian
ghanaians	ghana-ian-s
gibraltar	gibraltar
gibraltarian	gibraltar-ian
gibraltarians	gibraltar-ian-s
gibson	gibson
gilbert	gilbert
gilbertian	gilbert-ian
gloria	gloria
gloucester	gloucester
god	god
goliath	goliath
gordius	gordius
gorgonzola	gorgonzola
gospel	gospel
goth	goth
gothic	goth-ic
goths	goth-s
gouda	gouda
graces	graces
grecian	grec-ian
greece	greece
greek	greek
greeks	greek-s
greenwich	greenwich
greg	greg
gregorian	gregori-an
gregory	gregory
grenada	grenada
grenadian	grenad-ian
grenadians	grenad-ian-s
grundies	grund-ies
grundy	grundy
grundyism	grundy-ism
gruyere	gruyere
guards	guards
guatemala	guatemala
guatemalan	guatemal-an
guatemalans	guatemal-an-s
guildhall	guildhall
guinea	guinea
guinean	guine-an
guineans	guine-an-s
guinness	guinness
gurkha	gurkha
gurkhas	gurkha-s
gus	gus
guyana	guyana
guyanese	guyan-ese
gwen	gwen
h-bomb	hydro-gen-bombbomb
h-bombs	hydro-gen-bombbomb-s
hms	hms
hq	hq
hrh	hrh
hades	hades
haiti	haiti
haitian	haiti-an
haitians	haiti-an-s
hallowe'en	hallowe'en
hallowe'ens	hallowe'en-s
halloween	halloween
hamburg	hamburg
hanover	hanover
hansard	hansard
hansards	hansard-s
hansom	hansom
havana	havana
havanas	havana-s
heaven	heaven
heaviside	heaviside
hebraic	hebra-ic
hebrew	hebrew
hebrews	hebrew-s
hegira	hegira
hellene	hellene
hellenes	hellene-s
hellenic	hellen-ic
hellenistic	hellen-ist-ic
herb	herb
herbert	herbert
hercules	hercules
herod	herod
herr	herr
hertz	hertz
hertzian	hertz-ian
hesperus	hesperus
hesse	hesse
highlander	highland-er
highlanders	highland-er-s
highlands	highlands
hindi	hindi
hindis	hindi-s
hindu	hindu
hinduism	hindu-ism
hindus	hindu-s
hindustan	hindustan
hindustani	hindustan-i
hippocrates	hippocrates
hippocratic	hippocrat-ic
hispanic	hispanic
hobson	hobson
hogmanay	hogmanay
hogmanays	hogmanay-s
holiness	holiness
holland	holland
hollander	holland-er
hollanders	holland-er-s
hollywood	hollywood
holstein	holstein
holsteins	holstein-s
homer	homer
homeric	homer-ic
hon.	hon.
honduran	hondur-an
hondurans	hondur-an-s
honduras	honduras
hoover	hoover
host	host
hottentot	hottentot
house	house
huguenot	huguenot
huguenots	huguenot-s
hun	hun
hungarian	hungarian
hungarians	hungarian-s
huns	hun-s
hz	hz
i	i
i'd	i-d
i'll	i-ll
i'm	i-m
i've	i-ve
icbm	icbm
iou	iou
ipa	ipa
iq	iq
ira	ira
ita	ita
itn	itn
itv	itv
iud	iud
iberia	iberia
iberian	iberi-an
iceland	iceland
icelander	iceland-er
icelanders	iceland-er-s
icelandic	iceland-ic
inc	inc
incarnation	incarnation
index	index
india	india
indiaman	india-man
indiamen	Indiamen
indian	indi-an
indians	indi-an-s
indo-european	indi-ano-europe-an
indonesia	indonesia
indonesian	indonesi-an
indonesians	indonesi-an-s
inquisition	inquisition
international	international
internationale	internationale
interpol	interpol
ionia	ionia
ionic	ion-ic
iran	iran
iranian	iran-ian
iranians	iran-ian-s
iraq	iraq
iraqi	iraq-i
iraqis	iraq-i-s
ireland	ireland
irish	irish
irishman	irish-man
irishmen	Irishmen
irishwoman	irish-woman
irishwomen	Irishwomen
irving	irving
islam	islam
islamic	islam-ic
israel	israel
israeli	israel-i
israelis	israel-i-s
israelite	israel-ite
italian	itali-an
italians	itali-an-s
italy	italy
j	j
jp	jp
jack	jack
jacobean	jacobean
jacobeans	jacobean-s
jacobin	jacobin
jacobinism	jacobin-ism
jacobins	jacobin-s
jacobite	jacobite
jacobites	jacobite-s
jaffa	jaffa
jaffas	jaffa-s
jamaica	jamaica
jamaican	jamaic-an
jamaicans	jamaic-an-s
jan.	jan.
jane	jane
januaries	januar-ies
january	january
japan	japan
japanese	japan-ese
java	java
javanese	javan-ese
jeff	jeff
jehovah	jehovah
jell-o	jell-o
jennifer	jennifer
jeremiah	jeremiah
jerries	jerr-ies
jerry	jerry
jersey	jersey
jerseys	jersey-s
jerusalem	jerusalem
jesuit	jesuit
jesuits	jesuit-s
jew	jew
jewess	jew-ess
jewesses	jew-ess-es
jewish	jew-ish
jews	jew-s
jezebel	jezebel
jezebels	jezebel-s
jim	jim
jnr	jnr
job	job
john	john
johnson	johnson
jonah	jonah
jonahs	jonah-s
jones	jones
jordan	jordan
jordanian	jordan-ian
jordanians	jordan-ian-s
jove	jove
joyce	joyce
jr	jr
judah	judah
judaic	juda-ic
judaism	juda-ism
judas	judas
judases	judas-es
jul.	jul.
julian	juli-an
julies	jul-ies
julius	julius
july	july
jun.	jun.
june	june
junes	june-s
junior	junior
juno	juno
junoesque	juno-esque
jupiter	jupiter
justice	justice
k	k
k.c.	k.c.
ko	ko
ko'd	ko-d
ko'ing	ko-ing
ko's	ko-s
kaiser	kaiser
kampuchea	kampuchea
kampuchean	kampuche-an
kampucheans	kampuche-an-s
kashmir	kashmir
kashmiri	kashmir-i
kashmiris	kashmir-i-s
kelly	kelly
kelvin	kelvin
kenya	kenya
kenyan	keny-an
kenyans	keny-an-s
khalka	khalka
khmer	khmer
kings	kings
kirk	kirk
kleenex	kleenex
kleenexes	kleenex-es
knesset	knesset
koran	koran
koranic	koran-ic
korans	koran-s
korea	korea
korean	kore-an
koreans	kore-an-s
kremlin	kremlin
kt	kt
kuomintang	kuomintang
kuwait	kuwait
kuwaiti	kuwait-i
kuwaitis	kuwait-i-s
l	l
l-dopa	l-dopa
l-driver	l-driv-er
l-drivers	l-driv-er-s
l-plate	l-plate
l-plates	l-plate-s
lcm	lcm
lp	lp
lsd	lsd
lab	lab
labour	labour
labourite	labour-ite
labourites	labour-ite-s
labrador	labrador
labradors	labrador-s
ladies	ladies
lady	lady
lady-chapel	lady-chapel
lady-chapels	lady-chapel-s
lamaism	lama-ism
lammas	lammas
lammases	lammas-es
landrover	landrover
lang	lang
laos	laos
laotian	laot-ian
laotians	laot-ian-s
latin	latin
latinist	latin-ist
latinists	latin-ist-s
latins	latin-s
laundromat	laundromat
lazarus	lazarus
lazaruses	lazarus-es
lebanese	leban-ese
lebanon	lebanon
lenin	lenin
leninism	lenin-ism
leninist	lenin-ist
leninists	lenin-ist-s
lent	lent
lenten	lent-en
lents	lent-s
leo	leo
leos	leo-s
letraset	letraset
levant	levant
levantine	levant-ine
levantines	levant-ine-s
levis	levis
lib	lib
liberal	liberal
liberalism	liberal-ism
liberals	liberal-s
liberia	liberia
liberian	liberi-an
liberians	liberi-an-s
libra	libra
libras	libra-s
libya	libya
libyan	liby-an
libyans	liby-an-s
liechtenstein	liechtenstein
liechtensteiner	liechtenstein-er
liechtensteiners	liechtenstein-er-s
lilliput	lilliput
lilliputian	lilliput-ian
lilliputians	lilliput-ian-s
lilo	lilo
lima	lima
lincoln	lincoln
logan	logan
london	london
lord	lord
lords	lords
lori	lori
lowlander	lowland-er
lowlanders	lowland-er-s
lowlands	lowlands
lsd	lsd
ltd.	ltd.
lucifer	lucifer
ludd	ludd
luddite	ludd-ite
luddites	ludd-ite-s
luther	luther
lutheran	luther-an
lutherans	luther-an-s
luxemburg	luxemburg
luxemburger	luxemburg-er
luxemburgers	luxemburg-er-s
lysol	lysol
m	m
m.o.t.	m.o.t.
ma	ma
mc	mc
md	md
mo	mo
mp	mp
mra	mra
ms	ms
msc	msc
macedonia	macedonia
macedonian	macedoni-an
macedonians	macedoni-an-s
mach	mach
machiavelli	machiavelli
machiavellian	machiavelli-an
madagascan	madagasc-an
madagascans	madagasc-an-s
madagascar	madagascar
madam	madam
madame	madame
madeira	madeira
madeiras	madeira-s
madonna	madonna
mafia	mafia
magi	magi
magnificat	magnificat
magnol	magnol
magyar	magyar
magyars	magyar-s
majesty	majesty
malaprop	malaprop
malawi	malawi
malawian	malawi-an
malawians	malawi-an-s
malay	malay
malaya	malaya
malayan	malay-an
malayans	malay-an-s
malays	malay-s
malaysia	malaysia
malaysian	malaysi-an
malaysians	malaysi-an-s
mali	mali
malian	mali-an
malians	mali-an-s
malta	malta
maltese	malt-ese
malthus	malthus
malthusian	malthus-ian
manila	manila
manx	manx
mao	mao
maoism	mao-ism
maoist	mao-ist
maoists	mao-ist-s
maori	maori
maoris	maori-s
march	march
marches	march-es
margrave	margrave
maria	maria
mars	mars
marsala	marsala
marseillaise	marseillaise
martian	mart-ian
martians	mart-ian-s
martinmas	martin-mas
martinmases	martin-mas-es
marx	marx
marxism	marx-ism
marxism-leninism	marx-ism-lenin-ism
marxist	marx-ist
marxist-leninist	marx-ist-lenin-ist
marxist-leninists	marx-ist-lenin-ist-s
marxists	marx-ist-s
mary	mary
mass	mass
master	master
mauritania	mauritania
mauritanian	mauritani-an
mauritanians	mauritani-an-s
mauritian	mauriti-an
mauritians	mauriti-an-s
mauritius	mauritius
maxim	maxim
maxims	maxim-s
may	may
mayan	mayan
mays	may-s
mccarthy	mccarthy
mccarthyism	mccarthy-ism
mediterranean	mediterranean
mendel	mendel
mendelian	mendel-ian
mephistophelean	mephistophele-an
mephistopheles	mephistopheles
mercator	mercator
mercury	mercury
messiah	messiah
messrs	Messrs
methodism	method-ism
methodist	method-ist
methodists	method-ist-s
metro	metro
mexican	mexic-an
mexicans	mexic-an-s
mexico	mexico
miami	miami
michael	michael
michaelmas	michael-mas
michaelmases	michael-mas-es
middle	middle
midlands	midlands
midwest	midwest
midwestern	midwest-ern
minotaur	minotaur
miss	miss
mister	mister
mistress	mistress
mlle	mlle
mme	mme
mohammed	mohamm-ed
mohammedan	mohamm-ed-an
mohammedanism	mohamm-ed-an-ism
mohammedans	mohamm-ed-an-s
molly	molly
molotov	molotov
mon.	mon.
monday	monday
mondays	monday-s
monegasque	monegasque
monegasques	monegasque-s
mongol	mongol
mongolia	mongolia
mongolian	mongoli-an
mongolians	mongoli-an-s
mongols	mongol-s
monsieur	monsieur
montserrat	montserrat
montserratian	montserrat-ian
montserratians	montserrat-ian-s
moor	moor
moorish	moor-ish
moors	moor-s
moresque	mor-esque
mormon	mormon
mormonism	mormon-ism
mormons	mormon-s
moroccan	morocc-an
moroccans	morocc-an-s
morocco	morocco
morpheus	morpheus
morrison	morrison
morse	morse
mosaic	mosa-ic
moses	moses
moslem	moslem
moslems	moslem-s
mother	mother
mountie	mountie
mounties	mountie-s
mozambique	mozambique
mozambiquean	mozambique-an
mozambiqueans	mozambique-an-s
mr	mr
mrs	mrs
ms	ms
mt	mt
muscovite	muscov-ite
muscovites	muscov-ite-s
muscovy	muscovy
muslim	muslim
muslims	muslim-s
muzak	muzak
myrmidon	myrmidon
n	n
nato	nato
nb	nb
nco	nco
ne	ne
nhs	nhs
nw	nw
naafi	naafi
naafis	naafi-s
namibia	namibia
namibian	namibi-an
namibians	namibi-an-s
nan	
nancy	nancy
napoleon	napoleon
napoleonic	napoleon-ic
nativity	nativity
nauru	nauru
nauruan	nauru-an
nauruans	nauru-an-s
nazi	nazi
naziism	nazi-ism
nazis	nazi-s
nazism	naz-ism
neanderthal	neanderthal
neanderthals	neanderthal-s
neapolitan	neapolitan
neapolitans	neapolitan-s
negress	negr-ess
negresses	negr-ess-es
negro	negro
negroes	negro-es
negroid	negr-oid
negroids	negr-oid-s
negus	negus
nelly	nelly
nepal	nepal
nepalese	nepal-ese
nepali	nepal-i
nepalis	nepal-i-s
neptune	neptune
nereid	nereid
nestor	nestor
nestors	nestor-s
netherlander	netherland-er
netherlanders	netherland-er-s
netherlands	netherlands
nevada	nevada
new-year	new-year
newfoundland	newfoundland
newfoundlands	newfoundland-s
newmarket	newmarket
newton	newton
newtonian	newton-ian
newtonians	newton-ian-s
ni	ni
nicaragua	nicaragua
nicaraguan	nicaragu-an
nicaraguans	nicaragu-an-s
niger	niger
nigeria	nigeria
nigerian	nigeri-an
nigerians	nigeri-an-s
nigerien	nigerien
nigeriens	nigerien-s
nile	nile
nilotic	nilot-ic
nimrod	nimrod
nimrods	nimrod-s
nippon	nippon
nipponese	nippon-ese
nissen	nissen
nobel	nobel
noel	noel
noels	noel-s
nonconformist	non-con-form-ist
nonconformists	non-con-form-ist-s
nonconformity	non-con-form-ity
nora	nora
nordic	nordic
nordics	nordic-s
norfolk	norfolk
norman	norman
normans	norman-s
norse	norse
north	north
northman	north-man
northmen	Northmen
norway	norway
norwegian	norwegian
norwegians	norwegian-s
nov.	nov.
november	november
novembers	november-s
novocaine	novocaine
numbers	numbers
o-level	ordinary-levellevel
o-levels	ordinary-levellevel-s
oap	oap
ok	ok
occident	occident
occidental	occident-al
occidentals	occident-al-s
october	october
octobers	october-s
oedipus	oedipus
old	old
olympia	olympia
olympiad	olympiad
olympian	olymp-ian
olympians	olymp-ian-s
olympic	olymp-ic
olympics	olymp-ic-s
olympus	olympus
oman	oman
omani	oman-i
omanis	oman-i-s
orangeman	orange-man
orangemen	Orangemen
orient	orient
oriental	orient-al
orientals	orient-al-s
orlon	orlon
oscar	oscar
oscars	oscar-s
otto	otto
ouija	ouija
oxbridge	ox-cambridgebridge
oxford	oxford
oxon	oxon
oxonian	oxonian
oxonians	oxonian-s
p	p
p.c.	p.c.
p.s.	p.s.
pa	pa
pe	pe
pm	pm
po	po
